secu_code,secu_abbr,chi_spelling,listed_date,listed_sector,industry_code,first_industry_name,second_industry_name,third_industry_name
"000001.SZ","平安银行","PAYH","1991.04.03",1,"480301","银行","股份制银行Ⅱ","股份制银行Ⅲ"
"000002.SZ","万科A","WKA","1991.01.29",1,"430101","房地产","房地产开发","住宅开发"
"000004.SZ","国华网安","GHWA","1990.12.01",1,"710402","计算机","软件开发","横向通用软件"
"000006.SZ","深振业A","SZYA","1992.04.27",1,"430101","房地产","房地产开发","住宅开发"
"000008.SZ","神州高铁","SZGT","1992.05.07",1,"640501","机械设备","轨交设备Ⅱ","轨交设备Ⅲ"
"000011.SZ","深物业A","SWYA","1992.03.30",1,"430101","房地产","房地产开发","住宅开发"
"000012.SZ","南玻A","NBA","1992.02.28",1,"610201","建筑材料","玻璃玻纤","玻璃制造"
"000014.SZ","沙河股份","SHGF","1992.06.02",1,"430101","房地产","房地产开发","住宅开发"
"000016.SZ","深康佳A","SKJA","1992.03.27",1,"330106","家用电器","白色家电","冰洗"
"000019.SZ","深粮控股","SLKG","1992.10.12",1,"110502","农林牧渔","农产品加工","粮油加工"
"000021.SZ","深科技","SKJ","1994.02.02",1,"270504","电子","消费电子","消费电子零部件及组装"
"000027.SZ","深圳能源","SZNY","1993.09.03",1,"410101","公用事业","电力","火力发电"
"000028.SZ","国药一致","GYYZ","1993.08.09",1,"370402","医药生物","医药商业","医药流通"
"000030.SZ","富奥股份","FAGF","1993.09.29",1,"280203","汽车","汽车零部件","底盘与发动机系统"
"000031.SZ","大悦城","DYC","1993.10.08",1,"430102","房地产","房地产开发","商业地产"
"000032.SZ","深桑达A","SSDA","1993.10.28",1,"620404","建筑装饰","专业工程","其他专业工程"
"000035.SZ","中国天楹","ZGTY","1994.04.08",1,"760103","环保","环境治理","固废治理"
"000036.SZ","华联控股","HLKG","1994.06.17",1,"430101","房地产","房地产开发","住宅开发"
"000042.SZ","中洲控股","ZZKG","1994.09.21",1,"430101","房地产","房地产开发","住宅开发"
"000048.SZ","京基智农","JJZN","1994.11.01",1,"430101","房地产","房地产开发","住宅开发"
"000050.SZ","深天马A","STMA","1995.03.15",1,"270301","电子","光学光电子","面板"
"000055.SZ","方大集团","FDJT","1996.04.15",1,"610303","建筑材料","装修建材","其他建材"
"000056.SZ","皇庭国际","HTGJ","1996.07.08",1,"430301","房地产","房地产服务","物业管理"
