secu_code,ConceptName
"000001.SZ","深股通"
"000001.SZ","深圳特区"
"000001.SZ","证金持股"
"000001.SZ","银行概念"
"000001.SZ","CIPS概念"
"000001.SZ","融资融券"
"000001.SZ","转融券标的"
"000001.SZ","MSCI概念"
"000001.SZ","纳入富时罗素"
"000001.SZ","标普道琼斯中国"
"000001.SZ","破净股"
"000001.SZ","广东"
"000002.SZ","冰雪概念"
"000002.SZ","装配式建筑"
"000002.SZ","深股通"
"000002.SZ","REITs"
"000002.SZ","深圳特区"
"000002.SZ","养老概念"
"000002.SZ","房地产开发概念"
"000002.SZ","房屋租赁"
"000002.SZ","物业管理概念"
"000002.SZ","证金持股"
"000002.SZ","AH股"
"000002.SZ","融资融券"
"000002.SZ","转融券标的"
"000002.SZ","MSCI概念"
"000002.SZ","超级品牌"
"000002.SZ","纳入富时罗素"
"000002.SZ","标普道琼斯中国"
"000002.SZ","破净股"
"000002.SZ","行业龙头"
"000002.SZ","高股息100"
"000002.SZ","广东"
"000004.SZ","华为概念"
"000004.SZ","华为HMS"
"000004.SZ","车联网(车路协同)"
"000004.SZ","网络游戏"
"000004.SZ","物联网"
"000004.SZ","电力物联网"
"000004.SZ","人工智能"
"000004.SZ","手游概念"
"000004.SZ","5G概念"
"000004.SZ","网络安全"
"000004.SZ","华为鸿蒙"
"000004.SZ","信创"
"000004.SZ","深圳特区"
"000004.SZ","壳资源概念"
"000004.SZ","微盘股概念"
"000004.SZ","广东"
"000006.SZ","国企改革"
"000006.SZ","深圳国资改革"
"000006.SZ","深股通"
"000006.SZ","深圳特区"
"000006.SZ","粤港澳自贸区"
"000006.SZ","房地产开发概念"
"000006.SZ","物业管理概念"
"000006.SZ","融资融券"
"000006.SZ","转融券标的"
"000006.SZ","标普道琼斯中国"
"000006.SZ","广东"
"000007.SZ","证券IT"
"000007.SZ","金融科技"
"000007.SZ","深圳特区"
"000007.SZ","口罩"
"000007.SZ","粤港澳自贸区"
"000007.SZ","举牌概念"
"000007.SZ","摘帽"
"000007.SZ","业绩反转"
"000007.SZ","微盘股概念"
"000007.SZ","广东"
"000008.SZ","腾讯概念"
"000008.SZ","磁悬浮"
"000008.SZ","机器人概念"
"000008.SZ","智慧城市"
"000008.SZ","一带一路"
"000008.SZ","国企改革"
"000008.SZ","工业4.0"
"000008.SZ","深股通"
"000008.SZ","PPP模式"
"000008.SZ","高铁"
"000008.SZ","铁路基建"
"000008.SZ","职业教育"
"000008.SZ","轨道交通"
"000008.SZ","融资融券"
"000008.SZ","转融券标的"
"000008.SZ","低价股"
"000008.SZ","纳入富时罗素"
"000008.SZ","标普道琼斯中国"
"000008.SZ","高商誉"
"000008.SZ","北京"
"000009.SZ","石墨烯"
"000009.SZ","充电桩"
"000009.SZ","锂电池概念"
"000009.SZ","特斯拉"
"000009.SZ","宁德时代概念"
"000009.SZ","固态电池"
"000009.SZ","钠离子电池"
"000009.SZ","比亚迪概念"
"000009.SZ","3D打印"
"000009.SZ","芯片概念"
"000009.SZ","燃料电池概念"
"000009.SZ","新能源车"
"000009.SZ","快充概念"
"000009.SZ","储能概念"
"000009.SZ","金属回收"
"000009.SZ","创投"
"000009.SZ","军工"
"000009.SZ","深股通"
"000009.SZ","深圳特区"
"000009.SZ","土地流转"
"000009.SZ","生物医药"
"000009.SZ","口罩"
"000009.SZ","稀土永磁"
"000009.SZ","物业管理概念"
"000009.SZ","镍概念"
"000009.SZ","钴概念"
"000009.SZ","磷酸铁锂"
"000009.SZ","小金属概念"
"000009.SZ","举牌概念"
"000009.SZ","融资融券"
"000009.SZ","参股新三板"
"000009.SZ","转融券标的"
"000009.SZ","分拆上市预期"
"000009.SZ","参股三板精选层"
"000009.SZ","北交所概念"
"000009.SZ","纳入富时罗素"
"000009.SZ","标普道琼斯中国"
"000009.SZ","广东"
"000010.SZ","碳中和"
"000010.SZ","园林"
"000010.SZ","PPP模式"
"000010.SZ","新型城镇化建设"
"000010.SZ","深圳特区"
"000010.SZ","煤炭概念"
"000010.SZ","广东"
"000011.SZ","免税店概念"
"000011.SZ","国企改革"
"000011.SZ","深圳国资改革"
"000011.SZ","深股通"
"000011.SZ","深圳特区"
"000011.SZ","粤港澳自贸区"
"000011.SZ","房地产开发概念"
"000011.SZ","物业管理概念"
"000011.SZ","AB股"
"000011.SZ","白马股"
"000011.SZ","纳入富时罗素"
"000011.SZ","广东"
"000012.SZ","触摸屏概念"
"000012.SZ","特斯拉"
"000012.SZ","OLED"
"000012.SZ","光伏概念"
"000012.SZ","太阳能概念"
"000012.SZ","BIPV概念(光伏建筑一体化)"
"000012.SZ","建筑节能概念"
"000012.SZ","一带一路"
"000012.SZ","军工"
"000012.SZ","深股通"
"000012.SZ","雄安新区"
"000012.SZ","深圳特区"
"000012.SZ","口罩"
"000012.SZ","玻璃概念"
"000012.SZ","低辐射玻璃"
"000012.SZ","AB股"
"000012.SZ","融资融券"
"000012.SZ","转融券标的"
"000012.SZ","纳入富时罗素"
"000012.SZ","标普道琼斯中国"
"000012.SZ","广东"
"000014.SZ","国企改革"
"000014.SZ","深圳国资改革"
"000014.SZ","深圳特区"
"000014.SZ","粤港澳自贸区"
"000014.SZ","房地产开发概念"
"000014.SZ","物业管理概念"
"000014.SZ","广东"
"000016.SZ","腾讯概念"
"000016.SZ","DeepSeek概念股"
"000016.SZ","网约车"
"000016.SZ","IPV6"
"000016.SZ","芯片概念"
"000016.SZ","MiniLED"
"000016.SZ","MicroLED"
"000016.SZ","华为星闪概念"
"000016.SZ","智能电视"
"000016.SZ","智能家居"
"000016.SZ","人民币贬值受益"
"000016.SZ","外贸受益"
"000016.SZ","污水处理"
"000016.SZ","创投"
"000016.SZ","国企改革"
"000016.SZ","深股通"
"000016.SZ","PPP模式"
"000016.SZ","家用电器概念"
"000016.SZ","深圳特区"
"000016.SZ","PCB概念"
"000016.SZ","超高清视频"
"000016.SZ","氮化镓"
"000016.SZ","第三代半导体"
"000016.SZ","半导体产业"
"000016.SZ","消费电子产业"
"000016.SZ","存储器"
"000016.SZ","AB股"
"000016.SZ","融资融券"
"000016.SZ","转融券标的"
"000016.SZ","分拆上市预期"
"000016.SZ","纳入富时罗素"
"000016.SZ","标普道琼斯中国"
"000016.SZ","广东"
"000017.SZ","共享单车"
"000017.SZ","新零售"
"000017.SZ","锂电池概念"
"000017.SZ","两轮车"
"000017.SZ","深圳特区"
"000017.SZ","粤港澳自贸区"
"000017.SZ","黄金概念"
"000017.SZ","AB股"
"000017.SZ","业绩反转"
"000017.SZ","广东"
"000019.SZ","数字乡村"
"000019.SZ","国企改革"
"000019.SZ","深圳国资改革"
"000019.SZ","双百企业"
"000019.SZ","深股通"
"000019.SZ","深圳特区"
"000019.SZ","粮食概念"
"000019.SZ","预制菜"
"000019.SZ","AB股"
